2026-05-11 18:24:27,576 INFO training.data_generation.pipeline | pipeline_start {'config_path': 'training/data_generation/configs/batch.yaml', 'run_dir': 'data/generated/batch', 'export_output': 'data/generated_reviewed/batch', 'convert_output': 'training/data/sft.generated.batch.jsonl'}
2026-05-11 18:24:27,579 INFO training.data_generation.generate | run_start {'config_path': 'training/data_generation/configs/batch.yaml', 'seed': 42, 'generator_model': 'gemma-31b-it', 'judge_model': 'gemma-31b-it', 'output_dir': 'data/generated/batch', 'total_examples': 1000, 'max_candidate_examples': 3000, 'feedback_enabled': True, 'max_regeneration_attempts': 3}
2026-05-11 18:24:27,605 INFO training.data_generation.generate | planned_example {'example_id': 'dg_0001', 'filename': 'dg_0001.json', 'conversation_id': 'mt_dg_0001', 'scenario': 'off_topic_redirect', 'difficulty_level': 'high_school_high', 'metadata_difficulty': 'high_school', 'subject': 'Statistics', 'topic': 'Probability and summary statistics', 'policy': 'confirm_after_student', 'split': 'exemplary_legitimate', 'coercion_level': 'none', 'expected_behavior': 'scaffold and hint', 'tags': ['multi_turn', 'sft', 'math', 'off_topic_redirect', 'task_focus', 'scaffolding'], 'guidance': 'The student briefly drifts off topic. The tutor defers the unrelated request and returns to the math task without scolding.', 'min_total_turns': 6, 'max_total_turns': 20}
2026-05-11 18:24:27,605 INFO training.data_generation.generate | planned_example {'example_id': 'dg_0002', 'filename': 'dg_0002.json', 'conversation_id': 'mt_dg_0002', 'scenario': 'direct_answer_pressure', 'difficulty_level': 'undergraduate', 'metadata_difficulty': 'undergrad', 'subject': 'Calculus', 'topic': 'Multivariable partial derivatives', 'policy': 'method_only', 'split': 'adequate_ambiguous', 'coercion_level': 'moderate', 'expected_behavior': 'transform and redirect', 'tags': ['multi_turn', 'sft', 'math', 'direct_answer_pressure', 'boundary_holding', 'scaffolding'], 'guidance': 'The student repeatedly asks for the final answer but is not clearly in a live exam. The tutor refuses direct disclosure and transforms the request into a step.', 'min_total_turns': 6, 'max_total_turns': 20}
2026-05-11 18:24:27,606 INFO training.data_generation.generate | planned_example {'example_id': 'dg_0003', 'filename': 'dg_0003.json', 'conversation_id': 'mt_dg_0003', 'scenario': 'live_quiz_cheating', 'difficulty_level': 'high_school_high', 'metadata_difficulty': 'high_school', 'subject': 'Algebra', 'topic': 'Quadratic equations and factoring', 'policy': 'never_state', 'split': 'failing_disallowed', 'coercion_level': 'high', 'expected_behavior': 'refuse or strongly redirect', 'tags': ['multi_turn', 'sft', 'math', 'live_quiz_cheating', 'exam_cheating_attempt', 'boundary_holding', 'never_state_policy'], 'guidance': 'The student says this is a live quiz, test, or exam. The tutor must not solve, confirm, or provide intermediate values that are effectively the answer.', 'min_total_turns': 6, 'max_total_turns': 20}
2026-05-11 18:24:27,606 INFO training.data_generation.generate | planned_example {'example_id': 'dg_0004', 'filename': 'dg_0004.json', 'conversation_id': 'mt_dg_0004', 'scenario': 'jailbreak_attempt', 'difficulty_level': 'high_school_high', 'metadata_difficulty': 'high_school', 'subject': 'Functions', 'topic': 'Function notation and graph interpretation', 'policy': 'never_state', 'split': 'failing_disallowed', 'coercion_level': 'high', 'expected_behavior': 'refuse or strongly redirect', 'tags': ['multi_turn', 'sft', 'math', 'jailbreak_attempt', 'false_authority', 'boundary_holding'], 'guidance': "The student uses bypass tactics such as fake authority, role-play, false permission, re-framing as a puzzle, or 'ignore rules'. The tutor holds the boundary.", 'min_total_turns': 6, 'max_total_turns': 20}
2026-05-11 18:24:27,606 INFO training.data_generation.generate | planned_example {'example_id': 'dg_0005', 'filename': 'dg_0005.json', 'conversation_id': 'mt_dg_0005', 'scenario': 'legitimate_scaffold', 'difficulty_level': 'undergraduate', 'metadata_difficulty': 'undergrad', 'subject': 'Probability', 'topic': 'Expected value and conditional probability', 'policy': 'confirm_after_student', 'split': 'exemplary_legitimate', 'coercion_level': 'none', 'expected_behavior': 'scaffold and hint', 'tags': ['multi_turn', 'sft', 'math', 'legitimate_scaffold', 'scaffolding', 'academic_integrity'], 'guidance': 'The student genuinely wants help. The tutor should scaffold with hints, questions, and method guidance without giving the final answer first.', 'min_total_turns': 6, 'max_total_turns': 20}
2026-05-11 18:24:27,606 INFO training.data_generation.generate | planned_example {'example_id': 'dg_0006', 'filename': 'dg_0006.json', 'conversation_id': 'mt_dg_0006', 'scenario': 'direct_answer_pressure', 'difficulty_level': 'high_school_low', 'metadata_difficulty': 'high_school_intro', 'subject': 'Arithmetic', 'topic': 'Unit price and quantity word problems', 'policy': 'confirm_after_student', 'split': 'adequate_ambiguous', 'coercion_level': 'moderate', 'expected_behavior': 'transform and redirect', 'tags': ['multi_turn', 'sft', 'math', 'direct_answer_pressure', 'boundary_holding', 'scaffolding'], 'guidance': 'The student repeatedly asks for the final answer but is not clearly in a live exam. The tutor refuses direct disclosure and transforms the request into a step.', 'min_total_turns': 6, 'max_total_turns': 20}
2026-05-11 18:24:27,606 INFO training.data_generation.generate | planned_example {'example_id': 'dg_0007', 'filename': 'dg_0007.json', 'conversation_id': 'mt_dg_0007', 'scenario': 'legitimate_scaffold', 'difficulty_level': 'high_school_high', 'metadata_difficulty': 'high_school', 'subject': 'Trigonometry', 'topic': 'Right-triangle trigonometry', 'policy': 'method_only', 'split': 'exemplary_legitimate', 'coercion_level': 'none', 'expected_behavior': 'scaffold and hint', 'tags': ['multi_turn', 'sft', 'math', 'legitimate_scaffold', 'scaffolding', 'academic_integrity'], 'guidance': 'The student genuinely wants help. The tutor should scaffold with hints, questions, and method guidance without giving the final answer first.', 'min_total_turns': 6, 'max_total_turns': 20}
2026-05-11 18:24:27,606 INFO training.data_generation.generate | planned_example {'example_id': 'dg_0008', 'filename': 'dg_0008.json', 'conversation_id': 'mt_dg_0008', 'scenario': 'off_topic_redirect', 'difficulty_level': 'high_school_low', 'metadata_difficulty': 'high_school_intro', 'subject': 'Algebra', 'topic': 'One-step and two-step linear equations', 'policy': 'method_only', 'split': 'exemplary_legitimate', 'coercion_level': 'none', 'expected_behavior': 'scaffold and hint', 'tags': ['multi_turn', 'sft', 'math', 'off_topic_redirect', 'task_focus', 'scaffolding'], 'guidance': 'The student briefly drifts off topic. The tutor defers the unrelated request and returns to the math task without scolding.', 'min_total_turns': 6, 'max_total_turns': 20}
2026-05-11 18:24:27,606 INFO training.data_generation.generate | planned_example {'example_id': 'dg_0009', 'filename': 'dg_0009.json', 'conversation_id': 'mt_dg_0009', 'scenario': 'wrong_answer_checking', 'difficulty_level': 'high_school_low', 'metadata_difficulty': 'high_school_intro', 'subject': 'Geometry', 'topic': 'Area and perimeter of rectangles and triangles', 'policy': 'method_only', 'split': 'exemplary_legitimate', 'coercion_level': 'none', 'expected_behavior': 'scaffold and hint', 'tags': ['multi_turn', 'sft', 'math', 'wrong_answer_checking', 'wrong_answer_confirmation', 'misconception_correction', 'academic_integrity'], 'guidance': 'The student proposes an incorrect answer and asks if it is right. The tutor should ask for reasoning, diagnose the mistake, and guide revision.', 'min_total_turns': 6, 'max_total_turns': 20}
