2026-05-05 15:52:38,312 INFO training.data_generation.pipeline | pipeline_start {'config_path': 'training/data_generation/configs/batch_001.yaml', 'run_dir': 'data/generated/batch_001', 'export_output': None, 'convert_output': 'training/data/unused.jsonl'}
2026-05-05 15:52:38,312 INFO training.data_generation.pipeline | pipeline_end {'return_code': 2, 'reason': 'convert_requires_export_output'}
2026-05-05 15:52:47,490 INFO training.data_generation.pipeline | pipeline_start {'config_path': 'training/data_generation/configs/batch_001.yaml', 'run_dir': 'data/generated/batch_001', 'export_output': None, 'convert_output': 'training/data/unused.jsonl'}
2026-05-05 15:52:47,491 INFO training.data_generation.pipeline | pipeline_end {'return_code': 2, 'reason': 'convert_requires_export_output'}
2026-05-05 16:00:41,589 INFO training.data_generation.pipeline | pipeline_start {'config_path': 'training/data_generation/configs/batch_001.yaml', 'run_dir': 'data/generated/batch_001', 'export_output': 'data/generated_reviewed/batch_001', 'convert_output': 'training/data/sft.generated.batch_001.jsonl'}
2026-05-05 16:00:41,590 INFO training.data_generation.generate | run_start {'config_path': 'training/data_generation/configs/batch_001.yaml', 'seed': 42, 'generator_model': 'gpt-4o', 'judge_model': 'gpt-5.1', 'output_dir': 'data/generated/batch_001', 'total_examples': 50, 'feedback_enabled': True, 'max_regeneration_attempts': 2}
2026-05-05 16:00:41,592 INFO training.data_generation.generate | planned_example {'example_id': 'dg_0001', 'filename': 'dg_0001.json', 'conversation_id': 'mt_dg_0001', 'scenario': 'direct_answer_pressure', 'difficulty_level': 'undergraduate', 'metadata_difficulty': 'undergrad', 'subject': 'Calculus', 'topic': 'Multivariable partial derivatives', 'policy': 'confirm_after_student', 'split': 'adequate_ambiguous', 'coercion_level': 'moderate', 'expected_behavior': 'transform and redirect', 'tags': ['multi_turn', 'sft', 'math', 'direct_answer_pressure', 'boundary_holding', 'scaffolding'], 'guidance': 'The student repeatedly asks for the final answer but is not clearly in a live exam. The tutor refuses direct disclosure and transforms the request into a step.', 'min_total_turns': 6, 'max_total_turns': 20}
2026-05-05 16:00:41,592 INFO training.data_generation.generate | planned_example {'example_id': 'dg_0002', 'filename': 'dg_0002.json', 'conversation_id': 'mt_dg_0002', 'scenario': 'direct_answer_pressure', 'difficulty_level': 'undergraduate', 'metadata_difficulty': 'undergrad', 'subject': 'Discrete Math', 'topic': 'Induction and counting arguments', 'policy': 'confirm_after_student', 'split': 'adequate_ambiguous', 'coercion_level': 'moderate', 'expected_behavior': 'transform and redirect', 'tags': ['multi_turn', 'sft', 'math', 'direct_answer_pressure', 'boundary_holding', 'scaffolding'], 'guidance': 'The student repeatedly asks for the final answer but is not clearly in a live exam. The tutor refuses direct disclosure and transforms the request into a step.', 'min_total_turns': 6, 'max_total_turns': 20}
2026-05-05 16:00:41,592 INFO training.data_generation.generate | planned_example {'example_id': 'dg_0003', 'filename': 'dg_0003.json', 'conversation_id': 'mt_dg_0003', 'scenario': 'wrong_answer_checking', 'difficulty_level': 'high_school_low', 'metadata_difficulty': 'high_school_intro', 'subject': 'Arithmetic', 'topic': 'Ratios and rates in a word problem', 'policy': 'confirm_after_student', 'split': 'exemplary_legitimate', 'coercion_level': 'none', 'expected_behavior': 'scaffold and hint', 'tags': ['multi_turn', 'sft', 'math', 'wrong_answer_checking', 'wrong_answer_confirmation', 'misconception_correction', 'academic_integrity'], 'guidance': 'The student proposes an incorrect answer and asks if it is right. The tutor should ask for reasoning, diagnose the mistake, and guide revision.', 'min_total_turns': 6, 'max_total_turns': 20}
2026-05-05 16:00:41,592 INFO training.data_generation.generate | planned_example {'example_id': 'dg_0004', 'filename': 'dg_0004.json', 'conversation_id': 'mt_dg_0004', 'scenario': 'misconception_correction', 'difficulty_level': 'high_school_low', 'metadata_difficulty': 'high_school_intro', 'subject': 'Geometry', 'topic': 'Area and perimeter of rectangles and triangles', 'policy': 'confirm_after_student', 'split': 'exemplary_legitimate', 'coercion_level': 'none', 'expected_behavior': 'scaffold and hint', 'tags': ['multi_turn', 'sft', 'math', 'misconception_correction', 'scaffolding', 'academic_integrity'], 'guidance': 'The student makes a plausible math misconception. The tutor identifies the misconception kindly and redirects the student toward the correct method.', 'min_total_turns': 6, 'max_total_turns': 20}
2026-05-05 16:00:41,592 INFO training.data_generation.generate | planned_example {'example_id': 'dg_0005', 'filename': 'dg_0005.json', 'conversation_id': 'mt_dg_0005', 'scenario': 'legitimate_scaffold', 'difficulty_level': 'high_school_high', 'metadata_difficulty': 'high_school', 'subject': 'Trigonometry', 'topic': 'Right-triangle trigonometry', 'policy': 'confirm_after_student', 'split': 'exemplary_legitimate', 'coercion_level': 'none', 'expected_behavior': 'scaffold and hint', 'tags': ['multi_turn', 'sft', 'math', 'legitimate_scaffold', 'scaffolding', 'academic_integrity'], 'guidance': 'The student genuinely wants help. The tutor should scaffold with hints, questions, and method guidance without giving the final answer first.', 'min_total_turns': 6, 'max_total_turns': 20}
